case_id	stem	cc	group	sources
103644-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_no_init_63a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_no_init_63a.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_no_init_63b.c
103645-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_no_init_64a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_no_init_64a.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_no_init_64b.c
103646-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_01	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_01.c
103647-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_02	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_02.c
103648-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_03	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_03.c
103649-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_04	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_04.c
103650-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_05	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_05.c
103651-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_06	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_06.c
103652-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_07	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_07.c
103653-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_08	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_08.c
103654-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_09	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_09.c
103655-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_10	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_10.c
103656-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_11	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_11.c
103658-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_13	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_13.c
103659-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_14	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_14.c
103660-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_15	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_15.c
103661-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_16	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_16.c
103662-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_17	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_17.c
103663-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_18	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_18.c
103664-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_43	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_43.cpp
103665-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_62b.cpp
103666-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_63a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_63a.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_63b.c
103667-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_64a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_64a.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_64b.c
103687-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_62b.cpp
103688-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_63a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_63a.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_63b.c
103689-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_64a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_64a.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_64b.c
103709-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_malloc_partial_init_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_malloc_partial_init_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__int_array_malloc_partial_init_62b.cpp
103710-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_malloc_partial_init_63a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_malloc_partial_init_63a.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_malloc_partial_init_63b.c
103711-v1.0.0	CWE457_Use_of_Uninitialized_Variable__int_array_malloc_partial_init_64a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_malloc_partial_init_64a.c,s01/CWE457_Use_of_Uninitialized_Variable__int_array_malloc_partial_init_64b.c
103734-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_01	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_01.c
103735-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_02	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_02.c
103736-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_03	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_03.c
103737-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_04	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_04.c
103738-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_05	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_05.c
103739-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_06	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_06.c
103740-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_07	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_07.c
103741-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_08	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_08.c
103742-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_09	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_09.c
103743-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_10	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_10.c
103744-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_11	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_11.c
103746-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_13	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_13.c
103747-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_14	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_14.c
103748-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_15	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_15.c
103749-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_16	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_16.c
103750-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_17	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_17.c
103751-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_18	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_18.c
103752-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_43	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_43.cpp
103753-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__long_62b.cpp
103754-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_63a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_63a.c,s01/CWE457_Use_of_Uninitialized_Variable__long_63b.c
103755-v1.0.0	CWE457_Use_of_Uninitialized_Variable__long_64a	gcc	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__long_64a.c,s01/CWE457_Use_of_Uninitialized_Variable__long_64b.c
103756-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_01	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_01.cpp
103757-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_02	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_02.cpp
103758-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_03	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_03.cpp
103759-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_04	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_04.cpp
103760-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_05	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_05.cpp
103761-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_06	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_06.cpp
103762-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_07	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_07.cpp
103763-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_08	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_08.cpp
103764-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_09	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_09.cpp
103765-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_10	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_10.cpp
103766-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_11	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_11.cpp
103768-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_13	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_13.cpp
103769-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_14	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_14.cpp
103770-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_15	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_15.cpp
103771-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_16	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_16.cpp
103772-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_17	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_17.cpp
103773-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_18	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_18.cpp
103774-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_43	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_43.cpp
103775-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_62b.cpp
103776-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_63a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_63a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_63b.cpp
103777-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_64a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_64a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_no_init_64b.cpp
103778-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_01	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_01.cpp
103779-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_02	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_02.cpp
103780-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_03	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_03.cpp
103781-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_04	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_04.cpp
103782-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_05	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_05.cpp
103783-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_06	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_06.cpp
103784-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_07	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_07.cpp
103785-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_08	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_08.cpp
103786-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_09	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_09.cpp
103787-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_10	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_10.cpp
103788-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_11	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_11.cpp
103790-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_13	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_13.cpp
103791-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_14	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_14.cpp
103792-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_15	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_15.cpp
103793-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_16	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_16.cpp
103794-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_17	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_17.cpp
103795-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_18	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_18.cpp
103796-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_43	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_43.cpp
103797-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_62b.cpp
103798-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_63a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_63a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_63b.cpp
103799-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_64a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_64a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__new_double_array_partial_init_64b.cpp
103800-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_01	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_01.cpp
103801-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_02	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_02.cpp
103802-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_03	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_03.cpp
103803-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_04	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_04.cpp
103804-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_05	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_05.cpp
103805-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_06	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_06.cpp
103806-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_07	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_07.cpp
103807-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_08	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_08.cpp
103808-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_09	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_09.cpp
103809-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_10	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_10.cpp
103810-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_11	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_11.cpp
103812-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_13	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_13.cpp
103813-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_14	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_14.cpp
103814-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_15	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_15.cpp
103815-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_16	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_16.cpp
103816-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_17	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_17.cpp
103817-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_18	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_18.cpp
103818-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_43	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_43.cpp
103819-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_62a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_62a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_62b.cpp
103820-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_63a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_63a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_63b.cpp
103821-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_64a	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_64a.cpp,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_no_init_64b.cpp
103822-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_01	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_01.cpp
103823-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_02	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_02.cpp
103824-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_03	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_03.cpp
103825-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_04	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_04.cpp
103826-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_05	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_05.cpp
103827-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_06	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_06.cpp
103828-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_07	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_07.cpp
103829-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_08	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_08.cpp
103830-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_09	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_09.cpp
103831-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_10	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_10.cpp
103832-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_11	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_11.cpp
103834-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_13	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_13.cpp
103835-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_14	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_14.cpp
103836-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_15	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_15.cpp
103837-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_16	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_16.cpp
103838-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_17	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_17.cpp
103839-v1.0.0	CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_18	g++	values	src/testcasesupport/io.c,s01/CWE457_Use_of_Uninitialized_Variable__new_int_array_partial_init_18.cpp
